"","id","latitude","longitude"
"1165",6859516492,34.089274,-84.342641
"1169",6982331205,35.538093,-82.03989
"1170",6978859123,35.8656,-78.5766
"1178",8669968149,30.528738,-83.993139
"1186",7099529001,30.003256,-90.093468
"1187",7094677681,35.084376,-82.606458
"1188",7089123183,37.484053,-83.314647
"1201",7058656117,33.955668,-83.376638
"1204",45912299791,35.219968,-82.324773
"1205",18806076222,35.520176,-77.103552
"1207",8117688117,37.525145,-77.417167
"1210",7388484960,31.948083,-81.060562
"1211",7339805718,34.47458,-84.023855
"1212",7305451682,38.03073,-78.859643
"1216",7246812520,40.717875,-74.009077
"1217",7227103366,35.238702,-81.020717
"1225",7515652004,40.441607,-80.035561
"1232",7389290296,42.739069,-124.512519
"1233",7388417650,43.080533,-89.47817
"1234",7388416354,43.080361,-89.47817
"1235",7376577602,35.873472,-88.548774
"1237",7177962413,35.839588,-88.25283
"1242",7351386496,37.529975,-77.433909
"1244",7316786930,34.945667,-82.129167
"1246",8317931689,36.152999,-82.721832
"1247",8260242398,37.529842,-77.445534
"1255",7629911116,38.758768,-77.111492
"1256",7621415720,30.910435,-84.575543
"1260",7600976714,36.242404,-80.853366
"1261",7600975526,36.242196,-80.853366
"1262",7600975226,36.242334,-80.853281
"1263",7600975038,36.242334,-80.853281
"1264",7600974792,36.242334,-80.853281
"1265",7534997146,34.389487,-84.126648
"1266",7522529932,31.312709,-85.352461
"1270",37006897951,38.001032,126.836128
"1273",12104273004,33.519508,-86.807891
"1274",12104557216,33.519508,-86.807891
"1277",7897593626,35.864355,-88.552293
"1278",7896614440,38.147855,-85.906033
"1279",7896799240,38.1488,-85.905604
"1283",7843916976,33.95633,-83.384198
"1286",7812584926,40.209654,-74.717223
"1289",7766964360,25.879999,-80.185623
"1290",7755127862,40.767964,-74.233717
"1292",7713892780,35.868429,-88.779273
"1293",7713882618,35.868429,-88.779273
"1296",23658920454,33.747492,-87.225147
"1299",8698210678,36.323008,136.412086
"1332",8031849161,42.258619,-83.706572
"1334",8027860039,33.816333,-84.333333
"1338",8015441181,36.88253,-81.533859
"1340",8009837022,35.42812,-80.588257
"1345",7987925663,36.681388,-79.371803
"1349",7970056082,35.711865,-83.515963
"1357",40317617593,35.519853,-77.103939
"1359",39996597955,35.433819,-83.358678
"1360",21356243063,35.520176,-77.103552
"1361",21951184136,35.520176,-77.103552
"1365",8139868903,35.566333,-82.519834
"1371",8115995436,32.411788,-87.022232
"1374",8082917531,37.966564,-78.605697
"1375",8082910018,37.966124,-78.605911
"1385",8180781584,35.801003,-78.471994
"1387",8159606104,35.935863,-79.993171
"1389",8153350899,35.459831,136.24463
"1390",8153376480,35.459831,136.24463
"1392",12111461084,35.61988,-82.553714
"1397",8289357527,37.530114,-77.44547
"1399",8273875391,30.099544,-95.379556
